step,episode,ep_return,moving_return,loss,epsilon
50,1,-7.5000,-7.5000,,0.9995
100,2,-8.1000,-7.8000,,0.9990
150,3,-8.1000,-7.9000,,0.9986
200,4,-5.7000,-7.3500,,0.9981
250,5,-6.9000,-7.2600,,0.9976
300,6,-8.7000,-7.5000,,0.9971
350,7,-8.1000,-7.5857,,0.9967
400,8,-8.7000,-7.7250,,0.9962
450,9,-7.5000,-7.7000,,0.9957
500,10,-6.9000,-7.6200,,0.9952
550,11,-6.9000,-7.5545,,0.9948
600,12,-5.7000,-7.4000,,0.9943
650,13,-6.3000,-7.3154,,0.9938
700,14,-2.7000,-6.9857,,0.9933
750,15,-6.9000,-6.9800,,0.9929
800,16,-6.3000,-6.9375,,0.9924
850,17,-8.7000,-7.0412,,0.9919
900,18,-6.9000,-7.0333,,0.9914
950,19,-6.3000,-6.9947,,0.9910
1000,20,-8.1000,-7.0500,,0.9905
1050,21,-7.5000,-7.0714,,0.9900
1100,22,-8.1000,-7.1182,0.016704,0.9896
1150,23,-8.1000,-7.1609,,0.9891
1200,24,-8.1000,-7.2000,0.004064,0.9886
1250,25,-7.5000,-7.2120,,0.9881
1300,26,-5.1000,-7.1308,0.003956,0.9877
1350,27,-8.1000,-7.1667,,0.9872
1400,28,-7.5000,-7.1786,0.006242,0.9867
1450,29,-7.5000,-7.1897,,0.9862
1500,30,-8.1000,-7.2200,0.004290,0.9858
1550,31,-8.1000,-7.2484,,0.9853
1600,32,-7.5000,-7.2562,0.007312,0.9848
1650,33,-8.1000,-7.2818,,0.9843
1700,34,-7.5000,-7.2882,0.007574,0.9839
1750,35,-7.5000,-7.2943,,0.9834
1800,36,-7.5000,-7.3000,0.003553,0.9829
1850,37,-1.5000,-7.1432,,0.9824
1900,38,-8.1000,-7.1684,0.006346,0.9819
1950,39,-8.1000,-7.1923,,0.9815
2000,40,-6.9000,-7.1850,0.005372,0.9810
2050,41,-5.7000,-7.1488,,0.9805
2100,42,-6.9000,-7.1429,0.006755,0.9800
2150,43,-8.1000,-7.1651,,0.9796
2200,44,-3.3000,-7.0773,0.009424,0.9791
2250,45,-8.7000,-7.1133,,0.9786
2300,46,-7.5000,-7.1217,0.008885,0.9781
2350,47,-6.9000,-7.1170,,0.9777
2400,48,-8.1000,-7.1375,0.005859,0.9772
2450,49,-5.7000,-7.1082,,0.9767
2500,50,-8.1000,-7.1280,0.003872,0.9762
2550,51,-8.7000,-7.1520,,0.9758
2600,52,-6.9000,-7.1280,0.006269,0.9753
2650,53,-8.1000,-7.1280,,0.9748
2700,54,-6.9000,-7.1520,0.005324,0.9743
2750,55,-8.1000,-7.1760,,0.9739
2800,56,-7.5000,-7.1520,0.004119,0.9734
2850,57,-6.9000,-7.1280,,0.9729
2900,58,-6.9000,-7.0920,0.006987,0.9724
2950,59,-8.1000,-7.1040,,0.9720
3000,60,-8.1000,-7.1280,0.006953,0.9715
3050,61,-7.5000,-7.1400,,0.9710
3100,62,-8.1000,-7.1880,0.011650,0.9706
3150,63,-7.5000,-7.2120,,0.9701
3200,64,-8.7000,-7.3320,0.004775,0.9696
3250,65,-8.1000,-7.3560,,0.9691
3300,66,-7.5000,-7.3800,0.009978,0.9687
3350,67,-7.5000,-7.3560,,0.9682
3400,68,-4.5000,-7.3080,0.008385,0.9677
3450,69,-8.1000,-7.3440,,0.9672
3500,70,-7.5000,-7.3320,0.005029,0.9667
3550,71,-8.7000,-7.3560,,0.9663
3600,72,-8.1000,-7.3560,0.003768,0.9658
3650,73,-8.1000,-7.3560,,0.9653
3700,74,-4.5000,-7.2840,0.001753,0.9648
3750,75,-8.1000,-7.2960,,0.9644
3800,76,-7.5000,-7.3440,0.001253,0.9639
3850,77,-7.5000,-7.3320,,0.9634
3900,78,-7.5000,-7.3320,0.007347,0.9629
3950,79,-7.5000,-7.3320,,0.9625
4000,80,-8.1000,-7.3320,0.008430,0.9620
4050,81,-8.7000,-7.3440,,0.9615
4100,82,-7.5000,-7.3440,0.007413,0.9610
4150,83,-7.5000,-7.3320,,0.9606
4200,84,-6.3000,-7.3080,0.004785,0.9601
