step,episode,ep_return,moving_return,loss,epsilon
50,1,-6.3000,-6.3000,,0.9995
100,2,-8.1000,-7.2000,,0.9990
150,3,-8.1000,-7.5000,,0.9986
200,4,-8.7000,-7.8000,,0.9981
250,5,-6.3000,-7.5000,,0.9976
300,6,-8.7000,-7.7000,,0.9971
350,7,-6.9000,-7.5857,,0.9967
400,8,-7.5000,-7.5750,,0.9962
450,9,-8.7000,-7.7000,,0.9957
500,10,-7.5000,-7.6800,,0.9952
550,11,-8.7000,-7.7727,,0.9948
600,12,-7.5000,-7.7500,,0.9943
650,13,-5.1000,-7.5462,,0.9938
700,14,-8.1000,-7.5857,,0.9933
750,15,-6.9000,-7.5400,,0.9929
800,16,-6.9000,-7.5000,,0.9924
850,17,-8.7000,-7.5706,,0.9919
900,18,-8.1000,-7.6000,,0.9914
950,19,-5.7000,-7.5000,,0.9910
1000,20,-5.7000,-7.4100,,0.9905
1050,21,-6.9000,-7.3857,,0.9900
1100,22,-6.3000,-7.3364,0.018061,0.9896
1150,23,-8.1000,-7.3696,,0.9891
1200,24,-8.7000,-7.4250,0.007051,0.9886
1250,25,-7.5000,-7.4280,,0.9881
1300,26,-8.1000,-7.4538,0.003843,0.9877
1350,27,-7.5000,-7.4556,,0.9872
1400,28,-8.1000,-7.4786,0.009700,0.9867
1450,29,-8.1000,-7.5000,,0.9862
1500,30,-8.1000,-7.5200,0.007362,0.9858
1550,31,-7.5000,-7.5194,,0.9853
1600,32,-8.7000,-7.5562,0.005568,0.9848
1650,33,-8.1000,-7.5727,,0.9843
1700,34,-8.1000,-7.5882,0.004836,0.9839
1750,35,-6.9000,-7.5686,,0.9834
1800,36,-8.1000,-7.5833,0.007646,0.9829
1850,37,-7.5000,-7.5811,,0.9824
1900,38,-8.1000,-7.5947,0.006371,0.9819
1950,39,-6.3000,-7.5615,,0.9815
2000,40,-8.7000,-7.5900,0.005138,0.9810
2050,41,-8.1000,-7.6024,,0.9805
2100,42,-6.9000,-7.5857,0.015802,0.9800
2150,43,-8.1000,-7.5977,,0.9796
2200,44,-8.1000,-7.6091,0.009606,0.9791
2250,45,-7.5000,-7.6067,,0.9786
2300,46,-8.7000,-7.6304,0.014725,0.9781
2350,47,-7.5000,-7.6277,,0.9777
2400,48,-8.7000,-7.6500,0.009973,0.9772
2450,49,-6.3000,-7.6224,,0.9767
2500,50,-7.5000,-7.6200,0.006561,0.9762
2550,51,-6.9000,-7.6320,,0.9758
2600,52,-8.1000,-7.6320,0.007887,0.9753
2650,53,-8.1000,-7.6320,,0.9748
2700,54,-6.3000,-7.5840,0.005696,0.9743
2750,55,-7.5000,-7.6080,,0.9739
2800,56,-6.9000,-7.5720,0.006396,0.9734
2850,57,-8.1000,-7.5960,,0.9729
2900,58,-7.5000,-7.5960,0.004002,0.9724
2950,59,-6.3000,-7.5480,,0.9720
3000,60,-6.3000,-7.5240,0.005906,0.9715
3050,61,-3.3000,-7.4160,,0.9710
3100,62,-7.5000,-7.4160,0.006510,0.9706
3150,63,-8.1000,-7.4760,,0.9701
3200,64,-8.1000,-7.4760,0.012562,0.9696
3250,65,-7.5000,-7.4880,,0.9691
3300,66,-7.5000,-7.5000,0.020272,0.9687
3350,67,-6.3000,-7.4520,,0.9682
3400,68,-8.1000,-7.4520,0.019274,0.9677
3450,69,-7.5000,-7.4880,,0.9672
3500,70,-5.1000,-7.4760,0.003141,0.9667
3550,71,-6.9000,-7.4760,,0.9663
3600,72,-7.5000,-7.5000,0.002543,0.9658
3650,73,-8.1000,-7.5000,,0.9653
3700,74,-6.3000,-7.4520,0.009621,0.9648
3750,75,-7.5000,-7.4520,,0.9644
3800,76,-7.5000,-7.4400,0.009305,0.9639
3850,77,-8.7000,-7.4640,,0.9634
3900,78,-8.1000,-7.4640,0.003611,0.9629
3950,79,-8.7000,-7.4760,,0.9625
4000,80,-8.1000,-7.4760,0.008890,0.9620
4050,81,-6.9000,-7.4640,,0.9615
4100,82,-8.1000,-7.4520,0.011536,0.9610
4150,83,-8.1000,-7.4520,,0.9606
4200,84,-8.7000,-7.4640,0.003752,0.9601
4250,85,-8.1000,-7.4880,,0.9596
4300,86,-8.1000,-7.4880,0.003621,0.9591
4350,87,-8.7000,-7.5120,,0.9587
4400,88,-8.7000,-7.5240,0.010229,0.9582
4450,89,-6.9000,-7.5360,,0.9577
4500,90,-6.9000,-7.5000,0.005235,0.9572
