episode,return,moving_return,epsilon,loss
1,-8.7,-8.7,0.9995250000000001,
2,-5.699999999999998,-7.199999999999999,0.99905,
3,-7.499999999999998,-7.3,0.9985750000000001,
4,-8.099999999999998,-7.499999999999999,0.9981,
5,-7.499999999999998,-7.499999999999998,0.9976250000000001,
6,-6.299999999999999,-7.299999999999998,0.99715,
7,-8.099999999999998,-7.414285714285713,0.9966750000000001,
8,-8.099999999999998,-7.499999999999998,0.9962,
9,-8.7,-7.633333333333332,0.9957250000000001,
10,-6.299999999999999,-7.499999999999998,0.99525,
11,-8.099999999999998,-7.554545454545453,0.9947750000000001,
12,-7.499999999999998,-7.549999999999998,0.9943,
13,-6.899999999999999,-7.499999999999998,0.9938250000000001,
14,-8.099999999999998,-7.54285714285714,0.99335,
15,-6.299999999999999,-7.459999999999997,0.9928750000000001,
16,-8.7,-7.537499999999998,0.9924,
17,-8.099999999999998,-7.570588235294116,0.9919250000000001,
18,-8.099999999999998,-7.599999999999998,0.9914499999999999,
19,-6.899999999999999,-7.56315789473684,0.990975,
20,-6.299999999999999,-7.499999999999998,0.9905,76.06098175048828
21,-7.499999999999998,-7.499999999999998,0.990025,41.9008903503418
22,-7.499999999999998,-7.499999999999999,0.98955,119.64918518066406
23,-8.099999999999998,-7.526086956521738,0.989075,47.693519592285156
24,-6.299999999999999,-7.474999999999999,0.9886,47.351417541503906
25,-5.699999999999998,-7.403999999999999,0.988125,19.995941162109375
26,-3.899999999999998,-7.269230769230768,0.98765,37.770790100097656
27,-7.499999999999998,-7.277777777777777,0.987175,70.19505310058594
28,-8.7,-7.328571428571427,0.9867,77.95564270019531
29,-8.099999999999998,-7.355172413793102,0.986225,81.79025268554688
30,-8.099999999999998,-7.379999999999998,0.98575,6.938272953033447
31,-8.099999999999998,-7.403225806451611,0.985275,73.59329986572266
32,-7.499999999999998,-7.406249999999998,0.9848,44.68925476074219
33,-8.7,-7.4454545454545435,0.984325,90.31465911865234
34,-7.499999999999998,-7.44705882352941,0.98385,52.31517028808594
35,-7.499999999999998,-7.448571428571427,0.983375,4.86424446105957
36,-8.099999999999998,-7.466666666666665,0.9829,62.884395599365234
37,-7.499999999999998,-7.467567567567566,0.982425,2.802722454071045
38,-6.899999999999999,-7.452631578947367,0.98195,1.5203022956848145
39,-5.699999999999998,-7.407692307692305,0.981475,1.4327369928359985
40,-8.099999999999998,-7.424999999999997,0.981,0.8624659776687622
41,-7.499999999999998,-7.42682926829268,0.9805250000000001,0.7329583168029785
