episode,return,moving_return,eps,loss
1,-8.7,-8.7,0.9995250000000001,
2,-5.699999999999998,-7.199999999999999,0.99905,
3,-7.499999999999998,-7.3,0.9985750000000001,
4,-8.099999999999998,-7.499999999999999,0.9981,
5,-7.499999999999998,-7.499999999999998,0.9976250000000001,
6,-6.299999999999999,-7.299999999999998,0.99715,
7,-8.099999999999998,-7.414285714285713,0.9966750000000001,
8,-8.099999999999998,-7.499999999999998,0.9962,
9,-8.7,-7.633333333333332,0.9957250000000001,
10,-6.299999999999999,-7.499999999999998,0.99525,
11,-8.099999999999998,-7.554545454545453,0.9947750000000001,
12,-7.499999999999998,-7.549999999999998,0.9943,
13,-6.899999999999999,-7.499999999999998,0.9938250000000001,
14,-8.099999999999998,-7.54285714285714,0.99335,
15,-6.299999999999999,-7.459999999999997,0.9928750000000001,
16,-8.7,-7.537499999999998,0.9924,
17,-8.099999999999998,-7.570588235294116,0.9919250000000001,
18,-8.099999999999998,-7.599999999999998,0.9914499999999999,
19,-8.099999999999998,-7.626315789473682,0.990975,
20,-6.299999999999999,-7.559999999999998,0.9905,0.26236093044281006
21,-7.499999999999998,-7.557142857142855,0.990025,0.155173659324646
22,-6.899999999999999,-7.527272727272726,0.98955,0.14486154913902283
23,-6.899999999999999,-7.499999999999999,0.989075,0.06645935773849487
24,-8.7,-7.55,0.9886,0.12860971689224243
25,-6.899999999999999,-7.524,0.988125,0.15178599953651428
26,-8.7,-7.569230769230769,0.98765,0.14624740183353424
27,-8.099999999999998,-7.588888888888888,0.987175,0.2882004976272583
28,-7.499999999999998,-7.5857142857142845,0.9867,0.11565089225769043
29,-7.499999999999998,-7.5827586206896544,0.986225,0.15079611539840698
30,-7.499999999999998,-7.579999999999999,0.98575,0.05976167321205139
31,-8.7,-7.616129032258064,0.985275,0.11090569198131561
32,-6.299999999999999,-7.574999999999999,0.9848,0.39739739894866943
33,-8.099999999999998,-7.59090909090909,0.984325,0.03312678262591362
34,-7.499999999999998,-7.588235294117645,0.98385,0.20345816016197205
35,-5.099999999999998,-7.517142857142856,0.983375,0.1690138280391693
36,-6.899999999999999,-7.499999999999998,0.9829,0.10223695635795593
37,-8.099999999999998,-7.516216216216216,0.982425,0.1674899160861969
38,-7.499999999999998,-7.51578947368421,0.98195,0.12933868169784546
39,-6.899999999999999,-7.499999999999998,0.981475,0.16879945993423462
40,-8.7,-7.5299999999999985,0.981,0.18283793330192566
41,-6.899999999999999,-7.514634146341461,0.9805250000000001,0.009205559268593788
