step,episode,ep_return,moving_return,loss,epsilon
6500,130,-7.5000,-7.4160,0.003531,0.8765
6550,131,-8.1000,-7.4280,,0.8756
6600,132,-6.9000,-7.4160,0.002849,0.8746
6650,133,-6.3000,-7.3800,,0.8737
6700,134,-6.3000,-7.3560,0.004159,0.8727
6750,135,-6.9000,-7.3320,,0.8718
6800,136,-8.1000,-7.4400,0.002706,0.8708
6850,137,-8.1000,-7.4520,,0.8699
6900,138,-8.1000,-7.4520,0.003112,0.8689
6950,139,-6.9000,-7.5120,,0.8679
7000,140,-6.3000,-7.4880,0.003284,0.8670
7050,141,-8.7000,-7.5120,,0.8660
7100,142,-7.5000,-7.5240,0.009184,0.8651
7150,143,-7.5000,-7.5000,,0.8641
7200,144,-7.5000,-7.5000,0.011103,0.8632
7250,145,-5.7000,-7.4760,,0.8622
7300,146,-8.1000,-7.4640,0.005405,0.8613
7350,147,-8.1000,-7.5000,,0.8603
7400,148,-8.1000,-7.5240,0.004700,0.8594
7450,149,-8.7000,-7.5720,,0.8584
7500,150,-6.9000,-7.5480,0.005003,0.8575
7550,151,-8.7000,-7.5600,,0.8566
7600,152,-7.5000,-7.5600,0.002604,0.8556
7650,153,-7.5000,-7.5840,,0.8547
7700,154,-6.3000,-7.5600,0.005315,0.8537
7750,155,-8.1000,-7.6440,,0.8528
7800,156,-3.9000,-7.5600,0.005566,0.8518
7850,157,-5.1000,-7.5000,,0.8508
7900,158,-7.5000,-7.4760,0.007258,0.8499
7950,159,-8.1000,-7.4760,,0.8489
8000,160,-6.9000,-7.4400,0.008589,0.8480
8050,161,-8.7000,-7.4760,,0.8470
8100,162,-7.5000,-7.4760,0.011145,0.8461
8150,163,-8.7000,-7.5240,,0.8451
8200,164,-8.1000,-7.5480,0.019996,0.8442
8250,165,-8.7000,-7.5600,,0.8432
8300,166,-6.9000,-7.5360,0.004848,0.8423
8350,167,-6.3000,-7.4880,,0.8413
8400,168,-8.7000,-7.5000,0.001075,0.8404
8450,169,-8.1000,-7.5000,,0.8394
8500,170,-3.9000,-7.4400,0.005435,0.8385
8550,171,-7.5000,-7.4400,,0.8376
8600,172,-8.7000,-7.4400,0.002842,0.8366
8650,173,-8.1000,-7.4400,,0.8357
8700,174,-8.1000,-7.4520,0.007729,0.8347
8750,175,-8.1000,-7.4640,,0.8337
8800,176,-7.5000,-7.4520,0.010040,0.8328
8850,177,-6.9000,-7.4520,,0.8318
8900,178,-6.9000,-7.4160,0.016741,0.8309
8950,179,-6.9000,-7.4040,,0.8299
9000,180,-7.5000,-7.4040,0.004899,0.8290
9050,181,-0.9000,-7.2600,,0.8280
9100,182,-7.5000,-7.2720,0.018945,0.8271
9150,183,-5.1000,-7.2480,,0.8261
9200,184,-8.1000,-7.2840,0.003826,0.8252
9250,185,-7.5000,-7.2960,,0.8242
9300,186,-8.1000,-7.2960,0.001664,0.8233
9350,187,-6.9000,-7.2720,,0.8223
9400,188,-7.5000,-7.2600,0.003621,0.8214
9450,189,-6.9000,-7.2600,,0.8204
9500,190,-6.3000,-7.2600,0.005374,0.8195
9550,191,-8.1000,-7.2480,,0.8185
9600,192,-8.7000,-7.2720,0.006298,0.8176
9650,193,-7.5000,-7.2720,,0.8166
9700,194,-7.5000,-7.2720,0.009309,0.8157
9750,195,-8.7000,-7.3320,,0.8147
9800,196,-8.1000,-7.3320,0.004869,0.8138
9850,197,-8.1000,-7.3320,,0.8128
9900,198,-6.3000,-7.2960,0.007366,0.8119
9950,199,-6.9000,-7.2600,,0.8109
10000,200,-8.1000,-7.2840,0.004703,0.8100
