episode,return,moving_return,eps,loss
1,-8.7,-8.7,0.9998416666666667,
2,-5.699999999999998,-7.199999999999999,0.9996833333333334,
3,-7.499999999999998,-7.3,0.9995250000000001,
4,-8.099999999999998,-7.499999999999999,0.9993666666666666,
5,-7.499999999999998,-7.499999999999998,0.9992083333333334,
6,-6.299999999999999,-7.299999999999998,0.99905,
7,-8.099999999999998,-7.414285714285713,0.9988916666666667,
8,-8.099999999999998,-7.499999999999998,0.9987333333333334,
9,-8.7,-7.633333333333332,0.9985750000000001,
10,-6.299999999999999,-7.499999999999998,0.9984166666666666,
11,-8.099999999999998,-7.554545454545453,0.9982583333333334,
12,-7.499999999999998,-7.549999999999998,0.9981,
13,-6.899999999999999,-7.499999999999998,0.9979416666666667,
14,-8.099999999999998,-7.54285714285714,0.9977833333333334,
15,-6.299999999999999,-7.459999999999997,0.9976250000000001,
16,-8.7,-7.537499999999998,0.9974666666666666,
17,-8.099999999999998,-7.570588235294116,0.9973083333333334,
18,-8.099999999999998,-7.599999999999998,0.99715,
19,-7.499999999999998,-7.59473684210526,0.9969916666666667,
20,-6.299999999999999,-7.5299999999999985,0.9968333333333333,0.2785693407058716
21,-8.099999999999998,-7.557142857142855,0.9966750000000001,0.9790558815002441
22,-6.899999999999999,-7.527272727272726,0.9965166666666666,0.26073935627937317
23,-6.899999999999999,-7.499999999999999,0.9963583333333333,0.1638471931219101
24,-8.7,-7.55,0.9962,0.08281996846199036
25,-6.899999999999999,-7.524,0.9960416666666667,0.11103197932243347
26,-8.7,-7.569230769230769,0.9958833333333333,0.1446371078491211
27,-8.099999999999998,-7.588888888888888,0.9957250000000001,0.19128677248954773
28,-7.499999999999998,-7.5857142857142845,0.9955666666666666,0.14481741189956665
29,-7.499999999999998,-7.5827586206896544,0.9954083333333333,0.10738947987556458
30,-7.499999999999998,-7.579999999999999,0.99525,0.19929096102714539
31,-7.499999999999998,-7.5774193548387085,0.9950916666666667,0.3942437469959259
32,-6.299999999999999,-7.537499999999998,0.9949333333333333,0.3138611316680908
33,-7.499999999999998,-7.536363636363634,0.9947750000000001,0.2521139979362488
34,-7.499999999999998,-7.535294117647057,0.9946166666666666,0.11225338280200958
35,-7.499999999999998,-7.534285714285712,0.9944583333333333,0.8400298357009888
36,-8.099999999999998,-7.549999999999999,0.9943,0.3034208118915558
37,-4.499999999999998,-7.467567567567566,0.9941416666666667,0.1514255553483963
