step,episode,ep_return,moving_return,loss,epsilon
6500,130,-7.5000,-7.2600,0.002937,0.9383
6550,131,-7.5000,-7.2480,,0.9378
6600,132,-8.1000,-7.2480,0.003623,0.9373
6650,133,-8.1000,-7.2600,,0.9368
6700,134,-8.1000,-7.2600,0.004123,0.9364
6750,135,-5.7000,-7.2120,,0.9359
6800,136,-8.1000,-7.2360,0.006802,0.9354
6850,137,-8.1000,-7.2360,,0.9349
6900,138,-5.7000,-7.2000,0.005996,0.9345
6950,139,-8.1000,-7.2240,,0.9340
7000,140,-8.1000,-7.2360,0.003843,0.9335
7050,141,-7.5000,-7.2240,,0.9330
7100,142,-7.5000,-7.2480,0.009651,0.9326
7150,143,-8.1000,-7.3080,,0.9321
7200,144,-8.1000,-7.3440,0.020123,0.9316
7250,145,-8.7000,-7.3920,,0.9311
7300,146,-8.1000,-7.4160,0.007555,0.9307
7350,147,-8.1000,-7.4160,,0.9302
7400,148,-8.7000,-7.4520,0.005200,0.9297
7450,149,-8.1000,-7.4880,,0.9292
7500,150,-8.1000,-7.4880,0.005130,0.9288
7550,151,-8.7000,-7.5000,,0.9283
7600,152,-8.1000,-7.5120,0.007437,0.9278
7650,153,-8.1000,-7.5360,,0.9273
7700,154,-5.7000,-7.5000,0.001791,0.9269
7750,155,-5.7000,-7.4640,,0.9264
7800,156,-6.9000,-7.4400,0.002341,0.9259
7850,157,-6.9000,-7.4160,,0.9254
7900,158,-6.9000,-7.3800,0.001678,0.9250
7950,159,-8.7000,-7.4160,,0.9245
8000,160,-5.7000,-7.3800,0.001984,0.9240
8050,161,-8.7000,-7.3920,,0.9235
8100,162,-8.7000,-7.5240,0.032883,0.9231
8150,163,-7.5000,-7.5240,,0.9226
8200,164,-8.7000,-7.5480,0.004533,0.9221
8250,165,-8.1000,-7.5840,,0.9216
8300,166,-8.1000,-7.6200,0.003183,0.9212
8350,167,-7.5000,-7.6080,,0.9207
8400,168,-8.7000,-7.6080,0.004284,0.9202
8450,169,-8.1000,-7.6200,,0.9197
8500,170,-6.9000,-7.6080,0.007582,0.9193
8550,171,-8.1000,-7.6200,,0.9188
8600,172,-6.3000,-7.6320,0.005813,0.9183
8650,173,-8.1000,-7.6440,,0.9178
8700,174,-8.1000,-7.6560,0.002188,0.9173
8750,175,-8.1000,-7.6920,,0.9169
8800,176,-8.7000,-7.7160,0.002239,0.9164
8850,177,-7.5000,-7.6920,,0.9159
8900,178,-6.3000,-7.7040,0.006627,0.9154
8950,179,-8.7000,-7.7280,,0.9150
9000,180,-7.5000,-7.7280,0.007085,0.9145
9050,181,-8.1000,-7.7400,,0.9140
