episode,return,moving_return,eps,loss
1,40.0,40.0,0.9997625,
2,40.0,40.0,0.9995250000000001,
3,40.0,40.0,0.9992875,
4,40.0,40.0,0.99905,
5,40.0,40.0,0.9988125,
6,40.0,40.0,0.9985750000000001,
7,40.0,40.0,0.9983375,
8,40.0,40.0,0.9981,
9,40.0,40.0,0.9978625,
10,40.0,40.0,0.9976250000000001,
11,40.0,40.0,0.9973875,
12,40.0,40.0,0.99715,
13,40.0,40.0,0.9969125,
14,40.0,40.0,0.9966750000000001,
15,40.0,40.0,0.9964375,
16,40.0,40.0,0.9962,
17,40.0,40.0,0.9959625,
18,40.0,40.0,0.9957250000000001,
19,40.0,40.0,0.9954875,
20,40.0,40.0,0.99525,
21,40.0,40.0,0.9950125000000001,
22,40.0,40.0,0.9947750000000001,
23,40.0,40.0,0.9945375,
24,40.0,40.0,0.9943,
25,40.0,40.0,0.9940625000000001,
26,40.0,40.0,0.9938250000000001,
27,40.0,40.0,0.9935875,
28,40.0,40.0,0.99335,
29,40.0,40.0,0.9931125000000001,
30,40.0,40.0,0.9928750000000001,
31,40.0,40.0,0.9926375,
32,40.0,40.0,0.9924,
33,40.0,40.0,0.9921625000000001,
34,40.0,40.0,0.9919250000000001,
35,40.0,40.0,0.9916874999999999,
36,40.0,40.0,0.9914499999999999,
37,40.0,40.0,0.9912125,
38,40.0,40.0,0.990975,
39,40.0,40.0,0.9907374999999999,
40,40.0,40.0,0.9905,1.6721352338790894
41,40.0,40.0,0.9902625,0.5815498232841492
42,40.0,40.0,0.990025,0.31867098808288574
43,40.0,40.0,0.9897874999999999,1.023367166519165
44,40.0,40.0,0.98955,0.2042480856180191
45,40.0,40.0,0.9893125,0.19709737598896027
46,40.0,40.0,0.989075,0.24748553335666656
47,40.0,40.0,0.9888374999999999,0.07466930150985718
48,40.0,40.0,0.9886,0.9363394975662231
49,40.0,40.0,0.9883625,0.493467777967453
50,40.0,40.0,0.988125,1.4175138473510742
51,40.0,40.0,0.9878874999999999,0.5088682770729065
52,40.0,40.0,0.98765,0.18077512085437775
53,40.0,40.0,0.9874125,0.49068623781204224
54,40.0,40.0,0.987175,0.10438407957553864
55,40.0,40.0,0.9869374999999999,0.2047659456729889
56,40.0,40.0,0.9867,0.34685105085372925
57,40.0,40.0,0.9864625,0.31742554903030396
58,40.0,40.0,0.986225,0.9583696126937866
59,40.0,40.0,0.9859875,0.6976327300071716
60,40.0,40.0,0.98575,0.37948858737945557
61,40.0,40.0,0.9855125,0.2474634349346161
62,40.0,40.0,0.985275,0.16991424560546875
63,40.0,40.0,0.9850375,0.5293774604797363
64,40.0,40.0,0.9848,0.17701266705989838
65,40.0,40.0,0.9845625,0.15366528928279877
66,40.0,40.0,0.984325,0.31259337067604065
67,40.0,40.0,0.9840875,0.5619776248931885
68,40.0,40.0,0.98385,0.2620925307273865
69,40.0,40.0,0.9836125,0.36192771792411804
70,40.0,40.0,0.983375,0.03647636994719505
71,40.0,40.0,0.9831375,0.01500752940773964
72,40.0,40.0,0.9829,0.06657928973436356
73,40.0,40.0,0.9826625,0.48371416330337524
74,40.0,40.0,0.982425,0.1987609565258026
75,40.0,40.0,0.9821875,0.5034757852554321
76,40.0,40.0,0.98195,0.3705082833766937
77,40.0,40.0,0.9817125,0.14020778238773346
78,40.0,40.0,0.981475,0.08202287554740906
79,40.0,40.0,0.9812375,0.5162791609764099
80,40.0,40.0,0.981,0.018709538504481316
81,40.0,40.0,0.9807625,0.021568533033132553
82,40.0,40.0,0.9805250000000001,0.1230124980211258
83,40.0,40.0,0.9802875,0.008996590040624142
84,40.0,40.0,0.98005,0.03394348919391632
