step,episode,ep_return,moving_return,loss,epsilon
6500,130,-8.1000,-7.7640,0.005943,0.9383
6550,131,-6.3000,-7.7400,,0.9378
6600,132,-7.5000,-7.7160,0.005979,0.9373
6650,133,-6.9000,-7.7040,,0.9368
6700,134,-6.9000,-7.6800,0.004575,0.9364
6750,135,-7.5000,-7.6920,,0.9359
6800,136,-7.5000,-7.6680,0.003360,0.9354
6850,137,-8.1000,-7.6680,,0.9349
6900,138,-6.3000,-7.6320,0.002528,0.9345
6950,139,-8.1000,-7.6440,,0.9340
7000,140,-6.9000,-7.6080,0.003476,0.9335
7050,141,-7.5000,-7.5960,,0.9330
7100,142,-8.7000,-7.6200,0.005639,0.9326
7150,143,-5.7000,-7.5960,,0.9321
7200,144,-6.3000,-7.5720,0.004992,0.9316
7250,145,-7.5000,-7.5840,,0.9311
7300,146,-6.9000,-7.5600,0.003599,0.9307
7350,147,-7.5000,-7.5600,,0.9302
7400,148,-8.1000,-7.5720,0.005082,0.9297
7450,149,-8.1000,-7.5600,,0.9292
7500,150,-8.7000,-7.5840,0.007326,0.9288
7550,151,-8.1000,-7.5840,,0.9283
7600,152,-7.5000,-7.5840,0.001925,0.9278
7650,153,-6.3000,-7.5480,,0.9273
7700,154,-8.1000,-7.5480,0.005844,0.9269
7750,155,-8.7000,-7.5480,,0.9264
7800,156,-8.1000,-7.5360,0.003000,0.9259
7850,157,-8.7000,-7.5840,,0.9254
7900,158,-8.1000,-7.6800,0.004807,0.9250
7950,159,-7.5000,-7.6680,,0.9245
8000,160,-7.5000,-7.6560,0.003472,0.9240
8050,161,-7.5000,-7.6560,,0.9235
8100,162,-7.5000,-7.6320,0.005898,0.9231
8150,163,-8.1000,-7.6560,,0.9226
8200,164,-8.1000,-7.6680,0.004680,0.9221
8250,165,-4.5000,-7.5960,,0.9216
8300,166,-6.3000,-7.5720,0.006429,0.9212
8350,167,-3.9000,-7.4880,,0.9207
8400,168,-8.1000,-7.5360,0.009638,0.9202
8450,169,-6.3000,-7.4760,,0.9197
8500,170,-8.1000,-7.4760,0.005816,0.9193
8550,171,-7.5000,-7.4520,,0.9188
8600,172,-7.5000,-7.4280,0.005483,0.9183
8650,173,-8.7000,-7.4400,,0.9178
8700,174,-5.7000,-7.3920,0.005489,0.9173
8750,175,-8.1000,-7.3920,,0.9169
8800,176,-6.9000,-7.3800,0.011663,0.9164
8850,177,-5.7000,-7.3560,,0.9159
8900,178,-7.5000,-7.3560,0.005096,0.9154
8950,179,-7.5000,-7.3440,,0.9150
9000,180,-8.7000,-7.3560,0.005627,0.9145
9050,181,-7.5000,-7.3800,,0.9140
9100,182,-8.1000,-7.3920,0.007080,0.9136
9150,183,-6.9000,-7.3920,,0.9131
9200,184,-6.9000,-7.3920,0.004377,0.9126
9250,185,-8.1000,-7.4040,,0.9121
9300,186,-6.9000,-7.3920,0.004558,0.9117
9350,187,-6.3000,-7.3560,,0.9112
9400,188,-6.3000,-7.3560,0.002384,0.9107
9450,189,-8.1000,-7.3560,,0.9102
9500,190,-8.1000,-7.3800,0.005720,0.9098
9550,191,-7.5000,-7.3800,,0.9093
9600,192,-8.1000,-7.3680,0.003573,0.9088
9650,193,-6.9000,-7.3920,,0.9083
9700,194,-8.1000,-7.4280,0.004674,0.9079
9750,195,-5.7000,-7.3920,,0.9074
9800,196,-8.7000,-7.4280,0.005133,0.9069
9850,197,-8.1000,-7.4400,,0.9064
9900,198,-7.5000,-7.4280,0.006483,0.9060
9950,199,-8.7000,-7.4400,,0.9055
10000,200,-7.5000,-7.4160,0.005587,0.9050
