episode,step,bird_y,bird_vel,dist_pipe,reward,done
9,0,1.0,1.0,0.9606206321806929,0.1,False
9,1,1.0,0.9965156344688766,0.9754211920897219,0.1,False
9,2,1.0,0.9894147221515898,0.9869756742839267,0.1,False
9,3,1.0,0.9835384549262478,0.9924653049109937,0.1,False
9,4,1.0,0.9804249847730092,0.9917416621165588,0.1,False
9,5,1.0,0.9780403929332723,0.986535990975941,0.1,False
9,6,1.0,0.9790712798438411,0.9802028727835977,0.1,False
9,7,1.0,0.9820714130987398,0.9730187712115518,0.1,False
9,8,1.0,0.9813269603707356,0.9648238330317968,0.1,False
9,9,1.0,0.9805196002536215,0.955748983304572,0.1,False
9,10,1.0,0.9815240517405763,0.9459824541362594,0.1,False
9,11,1.0,0.9763058476704918,0.9377788433622885,0.1,False
9,12,1.0,0.9616021309352446,0.9383165937728501,0.1,False
9,13,1.0,0.944324590168034,0.9384421854193403,0.1,False
9,14,1.0,0.922361040097283,0.9406749888668998,0.1,False
9,15,1.0,0.8971045382374251,0.9437744989188023,0.1,False
9,16,1.0,0.8675557144959274,0.9479693910446317,0.1,False
9,17,1.0,0.837059451436882,0.9513843444275116,0.1,False
9,18,1.0,0.799811709496295,0.9566274458111627,0.1,False
9,19,0.9996549914781492,0.7649414269691877,0.9611136224713184,0.1,False
9,20,0.9985351887332182,0.7112502855243308,0.966947833666137,0.1,False
9,21,0.99647842784467,0.6550201796005166,0.9730939663142455,0.1,False
9,22,0.9935487266220105,0.6314162454620189,0.943101944524679,0.1,False
9,23,0.989964334428053,0.608270665045319,0.9165774965496802,0.1,False
9,24,0.985378059367004,0.5848533156268182,0.887085919415972,0.1,False
9,25,0.979893866208823,0.5617300805833637,0.849554608928521,0.1,False
9,26,0.9733419019480468,0.5385177210130725,0.8084680923186175,0.1,False
9,27,0.9660824302671263,0.5153706831471274,0.7659742039143328,0.1,False
9,28,0.9578581952600774,0.4921139082033133,0.7270468217238064,0.1,False
9,29,0.9484751035298193,0.46905921153013347,0.6862277617352047,-0.5,False
9,30,0.9381938876327875,0.44570200191090825,0.6439563083439626,-0.5,False
9,31,0.9266343647422058,0.42242513005928706,0.60091609497233,-0.5,False
9,32,0.9137401000114889,0.3994452310446105,0.5633664991698976,-0.5,False
9,33,0.8999562351526724,0.3761405893151248,0.5187840127206668,-0.5,False
9,34,0.8849111487353676,0.35297267636468926,0.4791670976485862,-0.5,False
9,35,0.8686308482077328,0.3298104842146683,0.43891476536541435,-0.5,False
9,36,0.8506377936392359,0.3065523284596114,0.3974685882826707,-0.5,False
9,37,0.8312546580895666,0.2832739683080495,0.3672959063517096,-0.5,False
9,38,0.8123354159758097,0.26013769049795926,0.33718877891588755,-0.5,False
9,39,0.7902208270565737,0.2369386330660421,0.30707359044444565,-0.5,False
9,40,0.7634248808888385,0.21355303729769962,0.2767035165792595,-0.5,False
9,41,0.7405777020232125,0.19050547495818732,0.24699467280926488,-0.5,False
9,42,0.708882083615804,0.1674159214717184,0.21685423860378844,-0.5,False
9,43,0.6779339039022717,0.14415478810754434,0.18682294447058362,-0.5,False
9,44,0.6124451984733735,0.11917332536623408,0.1636974490162759,-0.5,False
9,45,0.5300356085969151,0.09442479294766595,0.14251992607765526,-0.5,False
9,46,0.4358800753976137,0.07098474351564289,0.11895010431411226,-0.5,False
9,47,0.3361390350774499,0.048396048019462144,0.09148433261348955,-0.5,False
9,48,0.22264265806630854,0.026424925802014988,0.05804955274047267,-0.5,False
9,49,0.08906248378436593,0.005102040816326531,0.013122891043704,-1,True
