step,episode,ep_return,moving_return,loss,epsilon
6500,130,-5.7000,-7.5600,0.005090,0.9383
6550,131,-5.7000,-7.5240,,0.9378
6600,132,-8.1000,-7.5120,0.004046,0.9373
6650,133,-6.3000,-7.5360,,0.9368
6700,134,-8.1000,-7.5360,0.006766,0.9364
6750,135,-8.1000,-7.5480,,0.9359
6800,136,-8.1000,-7.5600,0.006493,0.9354
6850,137,-7.5000,-7.5480,,0.9349
6900,138,-7.5000,-7.5480,0.004723,0.9345
6950,139,-7.5000,-7.5480,,0.9340
7000,140,-8.1000,-7.5960,0.005879,0.9335
7050,141,-5.1000,-7.5480,,0.9330
7100,142,-8.1000,-7.5600,0.008028,0.9326
7150,143,-6.9000,-7.5720,,0.9321
7200,144,-8.1000,-7.5960,0.008506,0.9316
7250,145,-6.3000,-7.5840,,0.9311
7300,146,-7.5000,-7.6200,0.007349,0.9307
7350,147,-8.1000,-7.6320,,0.9302
7400,148,-8.7000,-7.6560,0.007494,0.9297
7450,149,-7.5000,-7.6440,,0.9292
7500,150,-7.5000,-7.6560,0.004802,0.9288
7550,151,-6.9000,-7.6320,,0.9283
7600,152,-8.1000,-7.6680,0.004600,0.9278
7650,153,-6.3000,-7.6200,,0.9273
7700,154,-8.1000,-7.6320,0.004631,0.9269
7750,155,-6.3000,-7.5840,,0.9264
7800,156,-7.5000,-7.5720,0.008559,0.9259
7850,157,-6.3000,-7.5360,,0.9254
7900,158,-6.3000,-7.4880,0.009652,0.9250
7950,159,-8.1000,-7.5000,,0.9245
8000,160,-7.5000,-7.5000,0.005532,0.9240
8050,161,-6.9000,-7.4760,,0.9235
8100,162,-6.9000,-7.5000,0.007824,0.9231
8150,163,-4.5000,-7.4280,,0.9226
8200,164,-8.1000,-7.4280,0.010155,0.9221
8250,165,-5.1000,-7.3560,,0.9216
8300,166,-8.7000,-7.3920,0.002354,0.9212
8350,167,-8.7000,-7.4040,,0.9207
8400,168,-6.3000,-7.3680,0.003396,0.9202
8450,169,-4.5000,-7.2960,,0.9197
8500,170,-8.7000,-7.3320,0.002146,0.9193
8550,171,-8.7000,-7.3560,,0.9188
8600,172,-8.1000,-7.3560,0.008980,0.9183
8650,173,-7.5000,-7.3440,,0.9178
8700,174,-8.7000,-7.3560,0.003750,0.9173
8750,175,-7.5000,-7.3440,,0.9169
8800,176,-5.7000,-7.2960,0.007164,0.9164
8850,177,-8.1000,-7.2960,,0.9159
8900,178,-8.1000,-7.2960,0.005002,0.9154
8950,179,-8.1000,-7.2960,,0.9150
9000,180,-7.5000,-7.3320,0.002025,0.9145
9050,181,-6.9000,-7.3560,,0.9140
9100,182,-8.1000,-7.3560,0.008200,0.9136
9150,183,-8.7000,-7.4040,,0.9131
9200,184,-6.3000,-7.3680,0.004878,0.9126
9250,185,-6.9000,-7.3440,,0.9121
9300,186,-8.7000,-7.3560,0.002346,0.9117
9350,187,-7.5000,-7.3560,,0.9112
9400,188,-7.5000,-7.3560,0.010382,0.9107
9450,189,-5.1000,-7.3080,,0.9102
9500,190,-6.3000,-7.2720,0.007007,0.9098
9550,191,-8.1000,-7.3320,,0.9093
9600,192,-7.5000,-7.3200,0.006129,0.9088
9650,193,-6.9000,-7.3200,,0.9083
9700,194,-8.7000,-7.3320,0.001037,0.9079
9750,195,-7.5000,-7.3560,,0.9074
9800,196,-7.5000,-7.3560,0.007686,0.9069
9850,197,-8.7000,-7.3680,,0.9064
9900,198,-8.1000,-7.3560,0.004812,0.9060
9950,199,-6.9000,-7.3440,,0.9055
10000,200,-5.1000,-7.2960,0.005836,0.9050
