step,episode,ep_return,moving_return,loss,epsilon
50,1,-7.5000,-7.5000,,0.9995
100,2,-6.3000,-6.9000,,0.9990
150,3,-7.5000,-7.1000,,0.9986
200,4,-5.7000,-6.7500,,0.9981
250,5,-6.9000,-6.7800,,0.9976
300,6,-8.1000,-7.0000,,0.9971
350,7,-7.5000,-7.0714,,0.9967
400,8,-6.9000,-7.0500,,0.9962
450,9,-7.5000,-7.1000,,0.9957
500,10,-5.1000,-6.9000,,0.9952
550,11,-7.5000,-6.9545,,0.9948
600,12,-7.5000,-7.0000,,0.9943
650,13,-7.5000,-7.0385,,0.9938
700,14,-8.1000,-7.1143,,0.9933
750,15,-8.1000,-7.1800,,0.9929
800,16,-8.1000,-7.2375,,0.9924
850,17,-7.5000,-7.2529,,0.9919
900,18,-5.1000,-7.1333,,0.9914
950,19,-7.5000,-7.1526,,0.9910
1000,20,-8.7000,-7.2300,,0.9905
1050,21,-6.9000,-7.2143,,0.9900
1100,22,-6.9000,-7.2000,0.012801,0.9896
1150,23,-7.5000,-7.2130,,0.9891
1200,24,-5.1000,-7.1250,0.013391,0.9886
1250,25,-7.5000,-7.1400,,0.9881
1300,26,-7.5000,-7.1538,0.007906,0.9877
1350,27,-7.5000,-7.1667,,0.9872
1400,28,-6.9000,-7.1571,0.004316,0.9867
1450,29,-8.1000,-7.1897,,0.9862
1500,30,-8.1000,-7.2200,0.003625,0.9858
1550,31,-6.9000,-7.2097,,0.9853
1600,32,-5.7000,-7.1625,0.004974,0.9848
1650,33,-8.7000,-7.2091,,0.9843
1700,34,-7.5000,-7.2176,0.005478,0.9839
1750,35,-8.1000,-7.2429,,0.9834
1800,36,-7.5000,-7.2500,0.006541,0.9829
1850,37,-8.1000,-7.2730,,0.9824
1900,38,-8.1000,-7.2947,0.004136,0.9819
1950,39,-8.1000,-7.3154,,0.9815
2000,40,-6.3000,-7.2900,0.002723,0.9810
2050,41,-7.5000,-7.2951,,0.9805
2100,42,-7.5000,-7.3000,0.006402,0.9800
2150,43,-8.7000,-7.3326,,0.9796
2200,44,-8.7000,-7.3636,0.006102,0.9791
2250,45,-6.9000,-7.3533,,0.9786
2300,46,-7.5000,-7.3565,0.004633,0.9781
2350,47,-8.1000,-7.3723,,0.9777
2400,48,-7.5000,-7.3750,0.002734,0.9772
2450,49,-6.9000,-7.3653,,0.9767
2500,50,-8.1000,-7.3800,0.010662,0.9762
2550,51,-8.1000,-7.3920,,0.9758
2600,52,-6.3000,-7.3920,0.005922,0.9753
2650,53,-8.1000,-7.4040,,0.9748
2700,54,-8.1000,-7.4520,0.004304,0.9743
2750,55,-8.1000,-7.4760,,0.9739
2800,56,-8.1000,-7.4760,0.007433,0.9734
2850,57,-6.9000,-7.4640,,0.9729
2900,58,-6.9000,-7.4640,0.003324,0.9724
2950,59,-8.1000,-7.4760,,0.9720
3000,60,-5.7000,-7.4880,0.003483,0.9715
3050,61,-8.1000,-7.5000,,0.9710
3100,62,-7.5000,-7.5000,0.012554,0.9706
3150,63,-8.1000,-7.5120,,0.9701
3200,64,-7.5000,-7.5000,0.007772,0.9696
3250,65,-8.1000,-7.5000,,0.9691
3300,66,-7.5000,-7.4880,0.005028,0.9687
3350,67,-8.7000,-7.5120,,0.9682
3400,68,-8.1000,-7.5720,0.002387,0.9677
3450,69,-8.7000,-7.5960,,0.9672
3500,70,-7.5000,-7.5720,0.003884,0.9667
3550,71,-7.5000,-7.5840,,0.9663
3600,72,-6.3000,-7.5720,0.003330,0.9658
3650,73,-6.9000,-7.5600,,0.9653
3700,74,-7.5000,-7.6080,0.002757,0.9648
3750,75,-6.3000,-7.5840,,0.9644
3800,76,-8.1000,-7.5960,0.002716,0.9639
3850,77,-7.5000,-7.5960,,0.9634
3900,78,-7.5000,-7.6080,0.002113,0.9629
3950,79,-8.1000,-7.6080,,0.9625
4000,80,-8.1000,-7.6080,0.003393,0.9620
4050,81,-5.7000,-7.5840,,0.9615
4100,82,-8.7000,-7.6440,0.020670,0.9610
4150,83,-5.1000,-7.5720,,0.9606
4200,84,-8.1000,-7.5840,0.006002,0.9601
4250,85,-8.1000,-7.5840,,0.9596
4300,86,-8.1000,-7.5960,0.010621,0.9591
4350,87,-7.5000,-7.5840,,0.9587
4400,88,-8.1000,-7.5840,0.007335,0.9582
4450,89,-8.1000,-7.5840,,0.9577
4500,90,-6.9000,-7.5960,0.005156,0.9572
4550,91,-8.7000,-7.6200,,0.9568
4600,92,-8.7000,-7.6440,0.005735,0.9563
4650,93,-7.5000,-7.6200,,0.9558
4700,94,-6.9000,-7.5840,0.005582,0.9553
4750,95,-8.1000,-7.6080,,0.9549
4800,96,-6.9000,-7.5960,0.004937,0.9544
4850,97,-7.5000,-7.5840,,0.9539
4900,98,-8.1000,-7.5960,0.006284,0.9534
4950,99,-6.9000,-7.5960,,0.9530
5000,100,-8.7000,-7.6080,0.006873,0.9525
5050,101,-7.5000,-7.5960,,0.9520
5100,102,-8.7000,-7.6440,0.007282,0.9516
5150,103,-8.1000,-7.6440,,0.9511
5200,104,-4.5000,-7.5720,0.007109,0.9506
5250,105,-6.9000,-7.5480,,0.9501
5300,106,-8.1000,-7.5480,0.003552,0.9496
5350,107,-6.9000,-7.5480,,0.9492
5400,108,-6.3000,-7.5360,0.005389,0.9487
5450,109,-8.1000,-7.5360,,0.9482
5500,110,-4.5000,-7.5120,0.002689,0.9477
5550,111,-6.9000,-7.4880,,0.9473
5600,112,-7.5000,-7.4880,0.006994,0.9468
5650,113,-8.7000,-7.5000,,0.9463
5700,114,-7.5000,-7.5000,0.005938,0.9458
5750,115,-7.5000,-7.4880,,0.9454
5800,116,-6.3000,-7.4640,0.004072,0.9449
5850,117,-8.7000,-7.4640,,0.9444
5900,118,-8.1000,-7.4640,0.003966,0.9440
5950,119,-7.5000,-7.4400,,0.9435
6000,120,-7.5000,-7.4400,0.003064,0.9430
6050,121,-8.1000,-7.4520,,0.9425
6100,122,-7.5000,-7.4760,0.008565,0.9421
6150,123,-8.1000,-7.5000,,0.9416
6200,124,-6.9000,-7.4880,0.005353,0.9411
6250,125,-8.1000,-7.5240,,0.9406
6300,126,-7.5000,-7.5120,0.003718,0.9402
6350,127,-7.5000,-7.5120,,0.9397
6400,128,-8.1000,-7.5240,0.006625,0.9392
6450,129,-6.9000,-7.5000,,0.9387
6500,130,-8.1000,-7.5000,0.001965,0.9383
6550,131,-8.7000,-7.5600,,0.9378
6600,132,-6.9000,-7.5240,0.007767,0.9373
6650,133,-8.7000,-7.5960,,0.9368
6700,134,-8.1000,-7.5960,0.005080,0.9364
6750,135,-6.3000,-7.5600,,0.9359
6800,136,-8.1000,-7.5600,0.004360,0.9354
6850,137,-8.1000,-7.5720,,0.9349
6900,138,-4.5000,-7.5000,0.004637,0.9345
6950,139,-8.1000,-7.5000,,0.9340
7000,140,-8.1000,-7.5240,0.005839,0.9335
7050,141,-7.5000,-7.5000,,0.9330
7100,142,-6.9000,-7.4640,0.009191,0.9326
7150,143,-7.5000,-7.4640,,0.9321
7200,144,-8.7000,-7.5000,0.009599,0.9316
7250,145,-8.1000,-7.5000,,0.9311
7300,146,-8.7000,-7.5360,0.004791,0.9307
7350,147,-7.5000,-7.5360,,0.9302
7400,148,-8.1000,-7.5360,0.003052,0.9297
7450,149,-8.1000,-7.5600,,0.9292
7500,150,-8.7000,-7.5600,0.005555,0.9288
7550,151,-8.1000,-7.5720,,0.9283
7600,152,-6.3000,-7.5240,0.003001,0.9278
7650,153,-8.1000,-7.5240,,0.9273
7700,154,-8.1000,-7.5960,0.003646,0.9269
7750,155,-8.7000,-7.6320,,0.9264
7800,156,-8.1000,-7.6320,0.003584,0.9259
7850,157,-8.7000,-7.6680,,0.9254
7900,158,-6.9000,-7.6800,0.003647,0.9250
7950,159,-6.9000,-7.6560,,0.9245
8000,160,-8.7000,-7.7400,0.010268,0.9240
8050,161,-7.5000,-7.7520,,0.9235
8100,162,-5.7000,-7.7160,0.007446,0.9231
8150,163,-6.3000,-7.6680,,0.9226
8200,164,-8.1000,-7.6800,0.003152,0.9221
8250,165,-8.7000,-7.7040,,0.9216
8300,166,-6.3000,-7.7040,0.003723,0.9212
8350,167,-7.5000,-7.6800,,0.9207
8400,168,-6.9000,-7.6560,0.008603,0.9202
8450,169,-8.1000,-7.6680,,0.9197
8500,170,-7.5000,-7.6680,0.004043,0.9193
8550,171,-6.9000,-7.6440,,0.9188
8600,172,-8.1000,-7.6560,0.004139,0.9183
8650,173,-7.5000,-7.6440,,0.9178
8700,174,-8.1000,-7.6680,0.004522,0.9173
8750,175,-7.5000,-7.6560,,0.9169
8800,176,-8.1000,-7.6680,0.005882,0.9164
8850,177,-7.5000,-7.6680,,0.9159
8900,178,-6.9000,-7.6440,0.002735,0.9154
8950,179,-6.9000,-7.6440,,0.9150
