episode,return,moving50,epsilon,loss
1,-8.7,-8.7,99900.00005,
2,-5.699999999999998,-7.199999999999999,99800.0001,
3,-7.499999999999998,-7.3,99700.00014999999,
4,-8.099999999999998,-7.499999999999999,99600.0002,
5,-7.499999999999998,-7.499999999999998,99500.00025,
6,-6.299999999999999,-7.299999999999998,99400.0003,
7,-8.099999999999998,-7.414285714285713,99300.00035,
8,-8.099999999999998,-7.499999999999998,99200.0004,
9,-8.099999999999998,-7.566666666666665,99100.00044999999,
10,-6.299999999999999,-7.439999999999998,99000.0005,
11,-8.099999999999998,-7.499999999999997,98900.00055,
12,-7.499999999999998,-7.499999999999997,98800.0006,
13,-7.499999999999998,-7.499999999999998,98700.00065,
14,-8.7,-7.585714285714284,98600.0007,
15,-6.299999999999999,-7.499999999999998,98500.00074999999,
16,-8.7,-7.574999999999998,98400.0008,
17,-8.099999999999998,-7.605882352941175,98300.00085,
18,-8.099999999999998,-7.633333333333332,98200.0009,
19,-7.499999999999998,-7.626315789473683,98100.00095,
20,-6.299999999999999,-7.56,98000.001,97.57737731933594
21,-7.499999999999998,-7.557142857142857,97900.00104999999,22.8709716796875
22,-6.899999999999999,-7.527272727272727,97800.0011,55.68891525268555
23,-6.899999999999999,-7.5,97700.00115,49.089881896972656
24,-8.7,-7.549999999999998,97600.0012,57.706748962402344
25,-6.899999999999999,-7.523999999999998,97500.00125,63.19102096557617
26,-8.099999999999998,-7.546153846153844,97400.0013,33.48206329345703
27,-5.099999999999998,-7.455555555555554,97300.00134999999,46.24445343017578
28,-8.099999999999998,-7.478571428571427,97200.0014,50.39775466918945
29,-5.099999999999998,-7.396551724137929,97100.00145,60.407440185546875
30,-8.7,-7.439999999999998,97000.0015,45.76359558105469
31,-8.099999999999998,-7.461290322580643,96900.00155,58.02381896972656
32,-6.899999999999999,-7.443749999999998,96800.0016,44.563777923583984
33,-6.899999999999999,-7.427272727272725,96700.00164999999,34.085182189941406
34,-6.899999999999999,-7.4117647058823515,96600.0017,46.951255798339844
35,-6.899999999999999,-7.397142857142855,96500.00175,45.479278564453125
36,-7.499999999999998,-7.399999999999998,96400.0018,53.922325134277344
37,-6.899999999999999,-7.386486486486484,96300.00185,31.849477767944336
38,-8.099999999999998,-7.405263157894734,96200.0019,34.038848876953125
39,-6.899999999999999,-7.39230769230769,96100.00194999999,54.74200439453125
40,-6.299999999999999,-7.364999999999999,96000.002,32.658729553222656
41,-5.699999999999998,-7.324390243902438,95900.00205,28.254322052001953
42,-8.7,-7.357142857142856,95800.0021,28.922710418701172
43,-7.499999999999998,-7.360465116279069,95700.00215,19.54037857055664
44,-7.499999999999998,-7.363636363636362,95600.0022,14.95358943939209
45,-8.099999999999998,-7.379999999999999,95500.00224999999,4.835097312927246
46,-8.099999999999998,-7.395652173913043,95400.0023,5.847964286804199
47,-8.099999999999998,-7.410638297872341,95300.00235,21.35039520263672
48,-8.099999999999998,-7.425,95200.0024,28.951255798339844
49,-8.099999999999998,-7.438775510204081,95100.00245,25.185516357421875
50,-6.899999999999999,-7.428,95000.0025,20.903743743896484
51,-7.499999999999998,-7.403999999999997,94900.00254999999,18.965831756591797
52,-8.7,-7.463999999999998,94800.00259999999,17.271377563476562
53,-5.699999999999998,-7.427999999999997,94700.00265,11.948151588439941
54,-7.499999999999998,-7.415999999999998,94600.0027,13.006245613098145
55,-7.499999999999998,-7.4159999999999995,94500.00275,9.56503963470459
56,-7.499999999999998,-7.439999999999998,94400.0028,8.621662139892578
57,-8.7,-7.451999999999998,94300.00284999999,9.22646713256836
58,-7.499999999999998,-7.439999999999999,94200.00289999999,10.543951034545898
59,-5.699999999999998,-7.3919999999999995,94100.00295000001,10.594285011291504
60,-8.099999999999998,-7.427999999999998,94000.003,9.188821792602539
61,-8.7,-7.439999999999999,93900.00305,2.75388503074646
62,-7.499999999999998,-7.439999999999998,93800.0031,4.143572807312012
63,-8.7,-7.463999999999999,93700.00315,10.984479904174805
64,-7.499999999999998,-7.439999999999999,93600.00319999999,8.794711112976074
65,-8.099999999999998,-7.475999999999998,93500.00325000001,9.809289932250977
66,-6.299999999999999,-7.427999999999998,93400.0033,8.058303833007812
67,-6.899999999999999,-7.403999999999997,93300.00335,12.595683097839355
68,-6.899999999999999,-7.379999999999998,93200.0034,7.391280174255371
69,-8.099999999999998,-7.391999999999999,93100.00345,0.4939485490322113
70,-7.499999999999998,-7.4159999999999995,93000.00349999999,4.6442084312438965
71,-9.299999999999999,-7.451999999999998,92900.00355000001,2.341113805770874
72,-8.099999999999998,-7.476,92800.00360000001,9.044219970703125
73,-8.099999999999998,-7.5,92700.00365,7.309826850891113
74,-8.099999999999998,-7.4879999999999995,92600.0037,13.768438339233398
75,-7.499999999999998,-7.499999999999999,92500.00375,2.757720708847046
76,-5.699999999999998,-7.451999999999999,92400.0038,5.571550369262695
77,-8.099999999999998,-7.512,92300.00385000001,14.009870529174805
78,-3.299999999999998,-7.416,92200.00390000001,6.938132286071777
79,-8.099999999999998,-7.475999999999999,92100.00395,8.279304504394531
80,-8.099999999999998,-7.4639999999999995,92000.004,5.6658172607421875
81,-8.099999999999998,-7.4639999999999995,91900.00405,10.313566207885742
82,2.6999999999999993,-7.271999999999999,91800.0041,6.200387001037598
83,-7.499999999999998,-7.283999999999997,91700.00415000001,6.253915309906006
84,-8.099999999999998,-7.308,91600.00420000001,0.6155556440353394
85,-7.499999999999998,-7.3199999999999985,91500.00425,12.691654205322266
86,-8.7,-7.343999999999998,91400.0043,0.7829926013946533
87,-8.7,-7.379999999999998,91300.00435,3.7727692127227783
88,-8.099999999999998,-7.379999999999999,91200.0044,1.1964795589447021
89,-8.099999999999998,-7.403999999999999,91100.00445000001,4.154827117919922
90,-8.099999999999998,-7.439999999999999,91000.00450000001,0.41385436058044434
91,-7.499999999999998,-7.475999999999999,90900.00455,0.5766796469688416
92,-8.099999999999998,-7.463999999999999,90800.0046,6.7023701667785645
93,-8.099999999999998,-7.475999999999999,90700.00465,4.131542205810547
94,-8.099999999999998,-7.4879999999999995,90600.0047,3.802873373031616
95,-8.099999999999998,-7.4879999999999995,90500.00475000001,3.0216140747070312
96,-8.099999999999998,-7.4879999999999995,90400.00480000001,3.6287624835968018
97,-7.499999999999998,-7.475999999999999,90300.00485,9.670125007629395
98,-8.7,-7.487999999999999,90200.0049,2.979663372039795
99,-8.7,-7.499999999999997,90100.00495,0.6494181156158447
100,-7.499999999999998,-7.511999999999998,90000.005,6.851653575897217
101,-5.699999999999998,-7.475999999999998,89900.00505,6.636034965515137
102,-6.899999999999999,-7.439999999999999,89800.00510000001,9.892203330993652
103,-7.499999999999998,-7.475999999999996,89700.00515,0.29989153146743774
104,-6.899999999999999,-7.463999999999999,89600.0052,3.312274694442749
105,-7.499999999999998,-7.463999999999998,89500.00525,3.5100440979003906
106,-7.499999999999998,-7.463999999999999,89400.0053,3.549816131591797
107,-7.499999999999998,-7.439999999999998,89300.00535,0.32362088561058044
108,-6.899999999999999,-7.427999999999998,89200.0054,3.6929845809936523
109,-8.099999999999998,-7.475999999999999,89100.00545,6.461948871612549
110,-8.099999999999998,-7.475999999999999,89000.0055,6.192896842956543
111,-7.499999999999998,-7.451999999999999,88900.00555,0.558771550655365
112,-8.099999999999998,-7.463999999999999,88800.0056,3.756429672241211
113,-8.7,-7.4639999999999995,88700.00565,0.5167238712310791
114,-5.699999999999998,-7.427999999999998,88600.0057,3.6899325847625732
115,-8.099999999999998,-7.427999999999998,88500.00575,6.402589321136475
116,-8.099999999999998,-7.4639999999999995,88400.0058,0.23557859659194946
117,-8.7,-7.499999999999999,88300.00585,8.756497383117676
118,-6.299999999999999,-7.4879999999999995,88200.0059,6.200629234313965
119,-8.099999999999998,-7.487999999999999,88100.00595,3.204082489013672
120,-8.7,-7.512,88000.006,3.430452585220337
121,-8.7,-7.499999999999997,87900.00605,7.389310836791992
122,-8.099999999999998,-7.499999999999999,87800.0061,8.608867645263672
123,-8.099999999999998,-7.499999999999999,87700.00615,6.747400283813477
124,-8.7,-7.511999999999998,87600.0062,0.7678155899047852
125,-5.099999999999998,-7.463999999999999,87500.00625,7.754075527191162
126,-6.299999999999999,-7.475999999999999,87400.0063,14.228930473327637
127,-7.499999999999998,-7.463999999999999,87300.00635,8.105438232421875
128,-6.899999999999999,-7.535999999999998,87200.0064,4.370872497558594
129,-7.499999999999998,-7.523999999999998,87100.00645,6.214247703552246
130,-7.499999999999998,-7.511999999999998,87000.0065,3.0844287872314453
131,-8.099999999999998,-7.512,86900.00655,4.629948139190674
132,-6.899999999999999,-7.703999999999999,86800.0066,8.245018005371094
133,-8.7,-7.727999999999998,86700.00665,10.079296112060547
134,-8.7,-7.7399999999999975,86600.0067,7.458738803863525
135,-6.299999999999999,-7.715999999999999,86500.00675,8.309066772460938
136,-7.499999999999998,-7.691999999999999,86400.0068,1.1514440774917603
