episode,return,moving50,epsilon,loss
1,-8.7,-8.7,99900.00005,
2,-5.699999999999998,-7.199999999999999,99800.0001,
3,-7.499999999999998,-7.3,99700.00014999999,
4,-8.099999999999998,-7.499999999999999,99600.0002,
5,-7.499999999999998,-7.499999999999998,99500.00025,
6,-6.299999999999999,-7.299999999999998,99400.0003,
7,-8.099999999999998,-7.414285714285713,99300.00035,
8,-8.099999999999998,-7.499999999999998,99200.0004,
9,-8.099999999999998,-7.566666666666665,99100.00044999999,
10,-6.299999999999999,-7.439999999999998,99000.0005,
11,-8.099999999999998,-7.499999999999997,98900.00055,
12,-7.499999999999998,-7.499999999999997,98800.0006,
13,-7.499999999999998,-7.499999999999998,98700.00065,
14,-8.7,-7.585714285714284,98600.0007,
15,-6.299999999999999,-7.499999999999998,98500.00074999999,
16,-8.7,-7.574999999999998,98400.0008,
17,-8.099999999999998,-7.605882352941175,98300.00085,
18,-8.099999999999998,-7.633333333333332,98200.0009,
19,-7.499999999999998,-7.626315789473683,98100.00095,
20,-6.299999999999999,-7.56,98000.001,98.51091766357422
21,-7.499999999999998,-7.557142857142857,97900.00104999999,32.142051696777344
22,-6.899999999999999,-7.527272727272727,97800.0011,60.243682861328125
23,-6.899999999999999,-7.5,97700.00115,60.314823150634766
24,-8.7,-7.549999999999998,97600.0012,46.39176940917969
25,-6.899999999999999,-7.523999999999998,97500.00125,60.583839416503906
26,-8.099999999999998,-7.546153846153844,97400.0013,43.59804916381836
27,-5.099999999999998,-7.455555555555554,97300.00134999999,59.06041717529297
28,-8.099999999999998,-7.478571428571427,97200.0014,43.39429473876953
29,-5.099999999999998,-7.396551724137929,97100.00145,68.54251861572266
30,-8.7,-7.439999999999998,97000.0015,41.754554748535156
31,-8.099999999999998,-7.461290322580643,96900.00155,48.46723937988281
32,-6.899999999999999,-7.443749999999998,96800.0016,54.955482482910156
33,-6.899999999999999,-7.427272727272725,96700.00164999999,33.47088623046875
34,-6.899999999999999,-7.4117647058823515,96600.0017,45.35314178466797
35,-6.899999999999999,-7.397142857142855,96500.00175,57.17001724243164
36,-7.499999999999998,-7.399999999999998,96400.0018,52.90443420410156
37,-6.899999999999999,-7.386486486486484,96300.00185,39.20686340332031
38,-8.099999999999998,-7.405263157894734,96200.0019,35.22990798950195
39,-6.899999999999999,-7.39230769230769,96100.00194999999,44.48808288574219
40,-6.299999999999999,-7.364999999999999,96000.002,20.55459976196289
41,-5.699999999999998,-7.324390243902438,95900.00205,12.280061721801758
42,-8.7,-7.357142857142856,95800.0021,11.162282943725586
43,-7.499999999999998,-7.360465116279069,95700.00215,5.970280647277832
44,-7.499999999999998,-7.363636363636362,95600.0022,5.409056663513184
45,-8.099999999999998,-7.379999999999999,95500.00224999999,6.942298889160156
46,-8.099999999999998,-7.395652173913043,95400.0023,9.168292999267578
47,-8.099999999999998,-7.410638297872341,95300.00235,9.464315414428711
48,-8.099999999999998,-7.425,95200.0024,17.509132385253906
49,-8.099999999999998,-7.438775510204081,95100.00245,4.296121597290039
50,-6.899999999999999,-7.428,95000.0025,4.129323959350586
51,-6.299999999999999,-7.379999999999998,94900.00254999999,8.287130355834961
52,-8.099999999999998,-7.427999999999998,94800.00259999999,12.638298988342285
53,-8.7,-7.451999999999998,94700.00265,1.2974717617034912
54,-8.099999999999998,-7.451999999999999,94600.0027,11.631516456604004
55,-8.099999999999998,-7.463999999999999,94500.00275,8.174325942993164
56,-8.099999999999998,-7.499999999999999,94400.0028,10.577842712402344
57,-8.7,-7.511999999999998,94300.00284999999,8.63692855834961
58,-8.099999999999998,-7.512,94200.00289999999,8.935912132263184
59,-8.7,-7.523999999999997,94100.00295000001,6.770184516906738
60,-8.099999999999998,-7.559999999999999,94000.003,17.365371704101562
61,-5.099999999999998,-7.499999999999999,93900.00305,5.664319038391113
62,-7.499999999999998,-7.499999999999999,93800.0031,9.88251781463623
63,-5.699999999999998,-7.463999999999998,93700.00315,7.104287624359131
64,-8.099999999999998,-7.451999999999998,93600.00319999999,7.061225891113281
65,-8.099999999999998,-7.4879999999999995,93500.00325000001,2.554342031478882
66,-5.099999999999998,-7.4159999999999995,93400.0033,3.0622239112854004
67,-8.099999999999998,-7.4159999999999995,93300.00335,3.793567419052124
68,-5.699999999999998,-7.3679999999999986,93200.0034,2.098985195159912
69,-8.099999999999998,-7.379999999999999,93100.00345,10.111413955688477
70,-5.699999999999998,-7.3679999999999986,93000.00349999999,3.300882339477539
71,-8.099999999999998,-7.379999999999998,92900.00355000001,8.366567611694336
72,-8.099999999999998,-7.403999999999999,92800.00360000001,0.5236738920211792
73,-8.099999999999998,-7.427999999999998,92700.00365,17.084260940551758
74,-6.899999999999999,-7.391999999999999,92600.0037,2.6926233768463135
75,-7.499999999999998,-7.403999999999997,92500.00375,6.631567478179932
76,-7.499999999999998,-7.391999999999999,92400.0038,3.1841847896575928
77,-8.099999999999998,-7.451999999999998,92300.00385000001,5.865115165710449
78,-8.7,-7.463999999999999,92200.00390000001,11.771727561950684
79,-8.099999999999998,-7.523999999999998,92100.00395,7.217153549194336
80,-6.899999999999999,-7.487999999999999,92000.004,9.817245483398438
81,-6.299999999999999,-7.451999999999998,91900.00405,13.376893043518066
82,2.0999999999999996,-7.2719999999999985,91800.0041,2.353130578994751
83,-8.7,-7.307999999999997,91700.00415000001,14.28815746307373
84,-6.299999999999999,-7.295999999999998,91600.00420000001,8.218822479248047
85,-8.099999999999998,-7.3199999999999985,91500.00425,8.717355728149414
86,-5.699999999999998,-7.283999999999999,91400.0043,15.286083221435547
87,-5.099999999999998,-7.247999999999998,91300.00435,7.086080551147461
88,-8.099999999999998,-7.247999999999998,91200.0044,5.752903938293457
89,-8.099999999999998,-7.2719999999999985,91100.00445000001,7.792200088500977
90,-8.7,-7.3199999999999985,91000.00450000001,12.454293251037598
91,-8.099999999999998,-7.3679999999999986,90900.00455,5.636184215545654
92,-7.499999999999998,-7.3439999999999985,90800.0046,11.427907943725586
93,-8.099999999999998,-7.355999999999999,90700.00465,11.392190933227539
94,-8.7,-7.379999999999999,90600.0047,8.133460998535156
95,-8.7,-7.391999999999999,90500.00475000001,16.04955291748047
96,-8.099999999999998,-7.3919999999999995,90400.00480000001,1.37590491771698
97,-7.499999999999998,-7.379999999999999,90300.00485,1.2860736846923828
98,-8.7,-7.391999999999999,90200.0049,6.341065406799316
99,-8.7,-7.403999999999999,90100.00495,10.737576484680176
100,-8.099999999999998,-7.427999999999998,90000.005,9.753207206726074
101,-7.499999999999998,-7.451999999999999,89900.00505,7.394611358642578
102,-7.499999999999998,-7.439999999999999,89800.00510000001,2.9709393978118896
103,-5.099999999999998,-7.367999999999999,89700.00515,16.68688201904297
104,-7.499999999999998,-7.355999999999999,89600.0052,8.48493480682373
105,-8.099999999999998,-7.355999999999999,89500.00525,2.2882707118988037
106,-7.499999999999998,-7.3439999999999985,89400.0053,1.0637112855911255
107,-6.899999999999999,-7.307999999999998,89300.00535,4.681406021118164
108,-7.499999999999998,-7.295999999999997,89200.0054,13.59399700164795
109,-8.099999999999998,-7.283999999999999,89100.00545,11.374774932861328
110,-8.099999999999998,-7.283999999999999,89000.0055,9.2060546875
111,-8.099999999999998,-7.343999999999999,88900.00555,5.41762638092041
112,-8.099999999999998,-7.355999999999999,88800.0056,8.361977577209473
113,-6.299999999999999,-7.3679999999999986,88700.00565,9.309267044067383
114,-5.699999999999998,-7.319999999999998,88600.0057,4.272680282592773
115,-8.099999999999998,-7.3199999999999985,88500.00575,23.068309783935547
116,-7.499999999999998,-7.367999999999999,88400.0058,1.1289386749267578
117,-8.7,-7.379999999999999,88300.00585,5.818221092224121
118,-6.299999999999999,-7.391999999999999,88200.0059,4.528253555297852
119,-8.099999999999998,-7.3919999999999995,88100.00595,6.300826549530029
120,-8.7,-7.451999999999998,88000.006,5.24445915222168
121,-8.099999999999998,-7.451999999999999,87900.00605,14.085904121398926
122,-6.899999999999999,-7.427999999999998,87800.0061,9.032257080078125
123,-7.499999999999998,-7.415999999999998,87700.00615,5.625195503234863
124,-7.499999999999998,-7.427999999999998,87600.0062,16.097543716430664
125,-8.7,-7.451999999999998,87500.00625,9.573786735534668
126,-6.299999999999999,-7.427999999999998,87400.0063,16.378881454467773
127,-6.899999999999999,-7.403999999999997,87300.00635,3.0546905994415283
128,-6.299999999999999,-7.355999999999998,87200.0064,4.654940128326416
129,-6.299999999999999,-7.32,87100.00645,4.6853179931640625
130,-8.099999999999998,-7.343999999999999,87000.0065,6.520524978637695
131,-8.099999999999998,-7.38,86900.00655,3.9876976013183594
132,-8.099999999999998,-7.583999999999999,86800.0066,10.71358871459961
133,-8.7,-7.584,86700.00665,13.827606201171875
134,-8.099999999999998,-7.619999999999999,86600.0067,16.53856658935547
135,-8.099999999999998,-7.62,86500.00675,13.483436584472656
136,-8.099999999999998,-7.667999999999999,86400.0068,8.955699920654297
